event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),city,campaign_name,start_date,end_date,product_name,category
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1
1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care
ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples
dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care
d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples
635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care
182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples
94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
