event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),city,campaign_name,start_date,end_date,product_name,category,cluster
7f650b,STCBE-2,CAMP_SAN_01,P11,190,2,34,52,2,1,374,380,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,0
a21f91,STBLR-8,CAMP_DIW_01,P03,156,0,393,322,0,0,315,321,Atliq_Suflower_Oil (1L),1,1
78bc80,STVJD-0,CAMP_SAN_01,P07,300,4,22,85,8,1,374,380,Atliq_Curtains,3,0
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,3,329,1000,2,0,315,321,Atliq_Home_Essential_8_Product_Combo,0,2
1091cf,STBLR-6,CAMP_DIW_01,P05,55,0,108,93,0,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,2,91,116,0,0,315,321,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,1
73d86f,STVSK-2,CAMP_SAN_01,P10,50,0,31,26,9,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
fe3560,STHYD-4,CAMP_DIW_01,P13,350,4,73,245,3,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,4,30,79,2,1,374,380,Atliq_Double_Bedsheet_set,3,0
ce5851,STMDU-2,CAMP_SAN_01,P03,200,4,318,1265,4,1,374,380,Atliq_Suflower_Oil (1L),1,2
dd6685,STMYS-2,CAMP_DIW_01,P06,415,0,78,70,6,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,3,126,302,3,1,374,380,Atliq_Home_Essential_8_Product_Combo,0,0
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,2,154,207,1,0,315,321,Atliq_Lime_Cool_Bathing_Bar (125GM),4,1
d290a1,STBLR-3,CAMP_DIW_01,P04,290,0,343,270,0,0,315,321,Atliq_Farm_Chakki_Atta (1KG),1,1
635862,STVSK-4,CAMP_SAN_01,P02,860,1,348,480,9,1,374,380,Atliq_Sonamasuri_Rice (10KG),1,0
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,4,43,167,1,1,374,380,Atliq_Curtains,3,0
182caa,STCHE-5,CAMP_SAN_01,P06,415,0,39,33,1,1,374,380,Atliq_Fusion_Container_Set_of_3,3,0
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,1,164,236,7,0,315,321,Atliq_Masoor_Dal (1KG),1,1
94f48c,STVSK-1,CAMP_SAN_01,P06,415,0,22,16,9,1,374,380,Atliq_Fusion_Container_Set_of_3,3,0
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,4,55,213,3,1,374,380,Atliq_Curtains,3,0
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,4,42,168,0,0,315,321,Atliq_waterproof_Immersion_Rod,2,1
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,4,84,338,1,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,2,66,88,0,0,315,321,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,1
260ff2,STMYS-2,CAMP_SAN_01,P01,172,1,204,291,6,1,374,380,Atliq_Masoor_Dal (1KG),1,0
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,4,19,74,7,1,374,380,Atliq_Double_Bedsheet_set,3,0
b08c12,STMDU-3,CAMP_DIW_01,P03,156,0,227,202,4,0,315,321,Atliq_Suflower_Oil (1L),1,1
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,3,85,228,2,1,374,380,Atliq_Home_Essential_8_Product_Combo,0,0
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,4,59,182,6,0,315,321,Atliq_waterproof_Immersion_Rod,2,1
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,4,50,190,2,0,315,321,Atliq_High_Glo_15W_LED_Bulb,2,1
def6ff,STMDU-0,CAMP_DIW_01,P11,190,2,70,89,4,0,315,321,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,1
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,1,333,402,1,1,374,380,Atliq_Masoor_Dal (1KG),1,0
ca3893,STMYS-1,CAMP_SAN_01,P09,90,0,52,39,6,1,374,380,Atliq_Body_Milk_Nourishing_Lotion (120ML),4,0
922e6a,STBLR-8,CAMP_SAN_01,P05,55,0,34,24,0,1,374,380,Atliq_Scrub_Sponge_For_Dishwash,3,0
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,4,33,136,4,1,374,380,Atliq_Double_Bedsheet_set,3,0
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,4,27,109,8,1,374,380,Atliq_Double_Bedsheet_set,3,0
df45ee,STHYD-3,CAMP_DIW_01,P01,172,1,309,534,3,0,315,321,Atliq_Masoor_Dal (1KG),1,1
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,4,348,1350,0,1,374,380,Atliq_Suflower_Oil (1L),1,2
292ca5,STHYD-2,CAMP_DIW_01,P04,290,0,287,220,3,0,315,321,Atliq_Farm_Chakki_Atta (1KG),1,1
620715,STMYS-3,CAMP_SAN_01,P03,200,4,340,1485,6,1,374,380,Atliq_Suflower_Oil (1L),1,2
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,4,24,82,8,0,315,321,Atliq_Double_Bedsheet_set,3,1
761785,STBLR-4,CAMP_SAN_01,P14,1020,4,121,474,0,1,374,380,Atliq_waterproof_Immersion_Rod,2,0
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,3,109,238,9,1,374,380,Atliq_Home_Essential_8_Product_Combo,0,0
276150,STCBE-3,CAMP_SAN_01,P07,300,4,33,128,2,1,374,380,Atliq_Curtains,3,0
3beb46,STMYS-2,CAMP_SAN_01,P13,350,4,81,208,6,1,374,380,Atliq_High_Glo_15W_LED_Bulb,2,0
47af00,STVJD-1,CAMP_DIW_01,P03,156,0,183,150,8,0,315,321,Atliq_Suflower_Oil (1L),1,1
627200,STCBE-4,CAMP_DIW_01,P14,1020,4,36,111,2,0,315,321,Atliq_waterproof_Immersion_Rod,2,1
bc8315,STHYD-1,CAMP_DIW_01,P12,62,2,122,135,3,0,315,321,Atliq_Lime_Cool_Bathing_Bar (125GM),4,1
1f083a,STVJD-0,CAMP_SAN_01,P06,415,0,16,14,8,1,374,380,Atliq_Fusion_Container_Set_of_3,3,0
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,1,273,379,1,1,374,380,Atliq_Masoor_Dal (1KG),1,0
f60d93,STCBE-0,CAMP_DIW_01,P05,55,0,78,75,2,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
a10402,STVSK-2,CAMP_SAN_01,P02,860,1,295,436,9,1,374,380,Atliq_Sonamasuri_Rice (10KG),1,0
741bef,STMYS-0,CAMP_SAN_01,P13,350,4,114,287,6,1,374,380,Atliq_High_Glo_15W_LED_Bulb,2,0
105788,STCHE-0,CAMP_SAN_01,P07,300,4,58,232,1,1,374,380,Atliq_Curtains,3,0
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,0,42,31,3,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,4,253,1017,8,1,374,380,Atliq_Farm_Chakki_Atta (1KG),1,2
830e9a,STCHE-1,CAMP_DIW_01,P01,172,1,325,396,1,0,315,321,Atliq_Masoor_Dal (1KG),1,1
29524a,STBLR-9,CAMP_SAN_01,P10,50,0,40,36,0,1,374,380,Atliq_Cream_Beauty_Bathing_Soap (125GM),4,0
3ce076,STMLR-1,CAMP_DIW_01,P11,190,2,38,50,5,0,315,321,Atliq_Doodh_Kesar_Body_Lotion (200ML),4,1
32fa85,STCHE-3,CAMP_DIW_01,P05,55,0,106,92,1,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
42f304,STCBE-3,CAMP_DIW_01,P06,415,0,66,57,2,0,315,321,Atliq_Fusion_Container_Set_of_3,3,1
a929ed,STHYD-5,CAMP_DIW_01,P03,156,0,358,347,3,0,315,321,Atliq_Suflower_Oil (1L),1,1
6dae49,STBLR-1,CAMP_DIW_01,P05,55,0,117,114,0,0,315,321,Atliq_Scrub_Sponge_For_Dishwash,3,1
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,0,367,297,3,0,315,321,Atliq_Farm_Chakki_Atta (1KG),1,1
